arquivo,categorias,largura,altura
img_0009.png,"cat, car",512,512
img_0026.png,"cell phone, truck, person, person, person, person, traffic light, chair, chair, chair, person, person, person, person, person, person, person, person, person, traffic light",512,512
img_0029.png,"car, car, airplane, airplane",512,512
img_0030.png,"dog, bed",512,512
img_0031.png,"cat, cat",512,512
img_0034.png,person,512,512
img_0094.png,"cat, cat, bed",512,512
img_0102.png,"sports ball, person, baseball glove",512,512
img_0106.png,"backpack, suitcase",512,512
img_0109.png,chair,512,512
img_0147.png,"train, person, bottle, bench, handbag, suitcase",512,512
img_0151.png,dog,512,512
img_0159.png,"tv, mouse, keyboard, cat",512,512
img_0164.png,"dog, couch",512,512
img_0168.png,"chair, chair, chair, chair, chair, chair, person, cup, cup, cup, fork, knife, bowl, bowl, dining table, bowl, chair, chair, cup, chair, chair, chair, dining table, dining table, dining table, dining table, chair, chair, chair",512,512
img_0170.png,"person, wine glass, wine glass, wine glass, dining table, person, wine glass, wine glass, wine glass, chair, chair",512,512
img_0179.png,"cat, cow",512,512
img_0182.png,"cat, suitcase, handbag, chair, microwave",512,512
img_0217.png,"cat, carrot",512,512
img_0219.png,"dog, frisbee",512,512
img_0224.png,"cup, fork, apple, apple, apple, dining table, bowl, cup",512,512
img_0225.png,"dog, remote, couch",512,512
img_0237.png,"dining table, spoon, donut, cup, cup",512,512
img_0248.png,"motorcycle, backpack",512,512
img_0260.png,"person, snowboard",512,512
img_0273.png,"car, car, person, person, skateboard, skateboard, traffic light, truck, traffic light, traffic light, skateboard",512,512
img_0274.png,"cat, couch, chair, cup",512,512
img_0275.png,"bottle, bottle, bottle, person, microwave, cup, knife, bowl, bowl, bowl, bowl, bowl, oven, person, cup, cup, cup, cup, cup, cup, cup, bowl, bowl, bowl, bottle, bottle, bottle, knife, cup",512,512
img_0278.png,"cat, bed, banana",512,512
img_0283.png,"donut, cup",512,512
img_0286.png,dog,512,512
img_0306.png,"sandwich, chair, person, tv, mouse, sandwich, laptop",512,512
img_0312.png,"cup, laptop",512,512
img_0317.png,"car, car, motorcycle, motorcycle, person, traffic light, person, bus, person, car",512,512
img_0318.png,"spoon, bowl, spoon, spoon, dining table, cup, cake, person",512,512
img_0326.png,"bottle, bottle, chair, chair, dining table, cup, cup, cup, cup, fork, knife, knife, spoon, bowl, cup, fork, fork, knife, knife, knife, knife, bowl, bowl, bowl, cake, bottle, spoon, spoon, bowl, bowl, potted plant, fork, knife, fork",512,512
img_0329.png,"fork, knife, spoon, bowl, banana, apple, dining table, cup, sandwich",512,512
img_0339.png,"sandwich, sandwich, dining table, cup, spoon",512,512
img_0347.png,"cat, couch, teddy bear",512,512
img_0351.png,"car, person, cup, person, donut, donut, dining table",512,512
img_0357.png,dog,512,512
img_0359.png,"person, person, cup, cup, spoon, oven, cup, cup, spoon, bowl, chair",512,512
img_0360.png,"person, person, wine glass, wine glass, fork, knife, knife, chair, chair, chair, chair, dining table, dining table, dining table, knife",512,512
img_0364.png,"person, backpack, suitcase, potted plant",512,512
img_0375.png,"person, snowboard",512,512
img_0376.png,"cat, car",512,512
img_0391.png,"cat, chair",512,512
img_0392.png,"dog, frisbee",512,512
img_0397.png,dog,512,512
img_0398.png,"cat, bird",512,512
img_0424.png,"dog, dog, person",512,512
img_0447.png,"bed, person",512,512
img_0456.png,person,512,512
img_0457.png,dog,512,512
img_0459.png,"car, person, person, person, surfboard, surfboard, person, person, car, car, person, person",512,512
img_0460.png,"cup, spoon, dining table",512,512
img_0462.png,"person, suitcase, car, handbag",512,512
img_0467.png,"chair, cat",512,512
